id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
333376,42423,CD-0001,5676,,GVL,0,0,2,,,,,,20,,,,,
523157,523155,CD-0039,2600,80,grass,0,0,10,,,,100,,28,,,,280,
525973,32182,CD-0041,2822,,Dirt,0,0,1,,,,,,19,,,,,
235132,3043,CD-0042,7874,147,PEM,1,0,5,-5.926390171,12.43840027,394,45,,23,-5.911109924,12.4538002,394,225,
327529,31521,CD-0069,3610,,,0,0,unknown,,,,,,unknown,,,,,
267145,16631,CD00,100,100,DIRT,0,0,H1,,,,,,,,,,360,
257866,16632,CD01,3000,85,TURF,0,0,5,,,,,,23,,,,,
257569,16633,CD02,1600,30,TURF,0,0,18,,,,,,36,,,,,
254786,16634,CD03,4500,30,DIRT,0,0,8,,,,,,26,,,,,
254787,16634,CD03,1000,50,TURF,0,0,17,,,,,,35,,,,,
267146,16635,CD04,75,30,CONC,0,0,H1,,,,,,,,,,,
267147,16637,CD06,80,30,CONC,0,0,H1,,,,,,,,,,,
267148,16638,CD07,40,40,ASPH,0,0,H1,,,,,,,,,,331.6,
251746,16640,CD09,2900,50,TURF,0,0,8,,,,,,26,,,,,
252693,16641,CD10,3000,80,TURF,0,0,6,,,,,,24,,,,,
252694,16641,CD10,3000,80,TURF,0,0,8,,,,,,26,,,,,
267149,16642,CD11,300,100,ASPH,0,0,H1,,,,,,,,,,318,640
267150,16643,CCP2,50,50,CONC,0,0,H1,,,,,,,,,,,
253710,16644,CD13,2300,30,DIRT,0,0,8,,,,,,26,,,,,
256975,16645,CCP4,2600,60,DIRT,0,0,17,,,,,,35,,,,,
251420,16646,CD15,4100,60,TURF,0,0,16,,,,,,34,,,,,
267151,16647,CD16,100,100,TURF,0,0,H1,,,,,,,,,,1U6,930
254194,16648,CD17,2200,30,DIRT,0,0,8,,,,,,26,,,,,
267152,16649,CD18,100,100,ASPH,0,0,H1,,,,,,,,,,0.3,
267153,16650,CD19,100,100,TURF,0,0,H1,,,,,,,,,,352.8,
254760,16651,CD20,1750,40,ASPH,0,0,16,,,,,,34,,,,,
267154,16652,CD21,100,100,GRAVEL,0,0,H1,,,,,,,,,,,
267155,16653,CD22,40,40,CONC,0,0,H1,,,,,,,,,,,
251881,16654,CCQ3,2150,60,TURF,0,0,18,,,,,,36,,,,,
267156,16655,CD24,22,22,CONC,0,0,H1,,,,,,,,,,,
267157,16656,CD25,100,100,TURF,0,0,H1,,,,,,,,,,333.2,231
267158,16657,CD26,100,100,TURF,0,0,H1,,,,,,,,,,270,
267159,16658,CD27,30,30,CONC,0,0,H1,,,,,,,,,,,
246439,16659,CD28,1800,40,TURF,0,0,16,,,,,,34,,,,,
267160,16660,CD29,100,100,TURF,0,0,H1,,,,,,,,,,229.1,
267161,16661,CD30,100,100,GRAVEL,0,0,H1,,,,,,,,,,216.1,
267162,16662,CD31,50,50,CONC,1,0,H1,,,,,,,,,,220.5,694
248405,16663,CD32,3200,50,GRVL,0,0,4,,,,,,22,,,,,
267163,16664,CCR3,100,100,TURF,0,0,H1,,,,,,,,,,348.8,
267164,16665,CD34,100,100,TURF,0,0,H1,,,,,,,,,,347.5,
267165,16666,CD35,100,100,TURF,0,0,H1,,,,,,,,,,348.9,
267166,16667,CD36,100,100,TURF,0,0,H1,,,,,,,,,,,
267167,16668,CD37,100,100,TURF,0,0,H1,,,,,,,,,,,
267168,16669,CD38,100,100,GRAVEL,0,0,H1,,,,,,,,,,318.3,
255910,16670,CD39,2500,60,TURF,0,0,8,,,,,,26,,,,,
267169,16671,CD40,100,100,TURF,0,0,H1,,,,,,,,,,,
267170,16672,CD41,100,100,TURF,0,0,H1,,,,,,,,,,1.1,400
267171,16673,CD42,100,100,TURF,0,0,H1,,,,,,,,,,251.9,
267172,16674,CCS3,100,100,TURF,0,0,H1,,,,,,,,,,199.7,
267173,16675,CCS4,100,100,TURF,0,0,H1,,,,,,,,,,306.8,
256089,16676,CCS5,2100,300,TURF,0,0,NE,,,,,,SW,,,,,
267174,16677,CD46,20,20,TURF,0,0,H1,,,,,,,,,,225,
267175,16678,CD47,45,45,MATS,1,0,H1,,,,,,,,,,318,
257205,16679,CD48,3500,80,TURF-F,0,0,9,,,,,,27,,,,,
267176,16680,CD49,100,100,TURF,0,0,H1,,,,,,,,,,302,
267177,16681,CD50,100,100,TURF,0,0,H1,,,,,,,,,,345,
267178,16682,CCT2,100,100,TURF,0,0,H1,,,,,,,,,,270,
264307,45330,CD53,40,40,CONC,1,0,H1,,,,,,,,,,,
267179,16683,CD54,100,100,TURF,0,0,H1,,,,,,,,,,309,449
267180,16684,CD55,100,100,TURF,0,0,H1,,,,,,,,,,344,176
267181,16685,CD56,100,100,GRVL-TRTD,0,0,H1,,,,,,,,,,251.1,
267182,16686,CD57,100,100,TURF,0,0,H1,,,,,,,,,,347,
267183,16687,CD59,100,100,DIRT,0,0,H1,,,,,,,,,,336,
267184,16688,CCU2,100,100,TURF,0,0,H1,,,,,,,,,,210.4,
267185,16689,CD63,100,100,TURF,0,0,H1,,,,,,,,,,208.3,250
